ground_truth,predicted_value
0.23,0.2549250200390816
0.46,0.5894067138433456
0.4400000000000001,0.5213353708386421
0.24,0.24179373681545258
0.29,0.44700494408607483
0.6,0.7320044040679932
0.2,0.09549347311258316
0.4400000000000001,0.794713631272316
0.21,0.21862930431962013
0.26,0.2906021252274513
0.52,0.6154706478118896
0.2,0.12630408443510532
0.4900000000000001,0.5500391870737076
0.2,0.12662194296717644
0.23,0.24891364946961403
0.26,0.4098736122250557
0.2,0.17791499942541122
0.4400000000000001,0.523041270673275
0.76,0.7809957712888718
0.22,0.23199180886149406
0.51,0.5874390006065369
0.58,0.5602914690971375
0.78,0.7779701948165894
0.4900000000000001,0.5561783015727997
0.2,0.2311360388994217
0.21,0.23307382315397263
0.2,0.1238382626324892
0.2,0.10051761008799076
0.21,0.20814716815948486
0.22,0.26460838690400124
0.67,0.666648268699646
0.2,0.1106809750199318
0.39,0.4331502169370651
0.21,0.2632802501320839
0.24,0.27796588838100433
0.37,0.4080973491072655
0.5599999999999999,0.5875916332006454
0.2,0.12525687739253044
0.29,0.33688783645629883
0.5900000000000001,0.6748048812150955
0.2,0.09393788874149323
0.2,0.1044149100780487
0.2,0.13861950114369392
0.29,0.42802999913692474
0.4,0.457663856446743
0.4900000000000001,0.594785213470459
0.2,0.08266462199389935
0.33,0.41231952607631683
0.47,0.5564909279346466
0.99,0.7157643139362335
0.37,0.4750494509935379
0.2,0.11736557260155678
0.2,0.14523224532604218
0.4400000000000001,0.5733700543642044
0.2,0.08585115894675255
0.2,0.1681424416601658
0.2,0.19012410193681717
0.8400000000000001,0.7189803719520569
0.99,0.7059633731842041
0.2,0.11945326998829842
0.21,0.40604696422815323
0.24,0.5073869675397873
0.38,0.4891263097524643
0.37,0.518493689596653
0.2,0.11695403791964054
0.2,0.039646655321121216
0.29,0.35974910110235214
0.2,0.21305324509739876
0.2,0.10417554900050163
0.2,0.12706881575286388
0.52,0.5960608124732971
0.2,0.10660095699131489
0.24,0.2269330956041813
0.8,0.7829401642084122
0.2,0.12000776268541813
0.2,0.1910504773259163
0.25,0.4228004515171051
0.2,0.10484645515680313
0.33,0.4067026898264885
0.24,0.19971083477139473
0.2,0.14446935057640076
0.2,0.17183693870902061
0.75,0.7881607264280319
0.2,0.11259223148226738
0.21,0.20594707503914833
0.23,0.27016813680529594
0.2,0.15509074181318283
0.5900000000000001,0.6497588455677032
0.2,0.12486563995480537
0.26,0.29060856997966766
0.2,0.17925339564681053
0.2,0.18808602169156075
0.3,0.41973528265953064
0.2,0.15401680767536163
0.8300000000000001,0.7996082901954651
0.2,0.12206711806356907
0.22,0.2860827147960663
0.22,0.20782724767923355
0.37,0.5036702528595924
0.52,0.5589845478534698
0.2,0.10542760603129864
0.2,0.21101542189717293
0.61,0.622706949710846
0.8,0.7155052125453949
0.67,0.6693245768547058
0.23,0.2752825729548931
0.41,0.7171198725700378
0.4400000000000001,0.5282307118177414
0.2,0.09977488406002522
0.25,0.29059886187314987
0.37,0.4807448163628578
0.58,0.6303358674049377
0.65,0.6557653993368149
0.22,0.25207341089844704
0.5900000000000001,0.5856281816959381
0.48,0.4963935390114784
0.2,0.12596041709184647
0.6900000000000001,0.6995477229356766
0.91,0.75876484811306
0.2,0.09991334192454815
0.2,0.17784061655402184
0.25,0.3406974971294403
0.2,0.1396781150251627
0.38,0.5005936175584793
0.52,0.5929003953933716
0.25,0.3337736576795578
0.2,0.17275261878967285
0.23,0.3192117065191269
0.21,0.17952291294932365
0.24,0.2848622687160969
1.0,0.610213577747345
0.4,0.5126726552844048
0.26,0.37369441241025925
0.2,0.18500511720776558
0.2,0.11361951567232609
0.2,0.14296314492821693
0.21,0.17222626879811287
0.24,0.3418324366211891
0.38,0.4994173049926758
0.2,0.06350360810756683
0.2,0.10303245484828949
0.2,0.19300515577197075
0.2,0.2540450505912304
0.25,0.3567173331975937
0.2,0.15609311684966087
0.25,0.307308591902256
0.24,0.3150859698653221
0.39,0.5508596152067184
0.2,0.240756094455719
0.25,0.29644589871168137
0.2,0.11207269690930843
0.2,0.11620611697435379
0.2,0.14557592943310738
0.21,0.2857743799686432
0.2,0.11115972883999348
0.28,0.34988243877887726
0.37,0.5033373683691025
0.2,0.1053339783102274
0.22,0.2629825919866562
0.2,0.12389346398413181
0.27,0.3984684646129608
0.34,0.5033670514822006
0.42,0.6794866174459457
0.2,0.19013158977031708
0.8099999999999999,0.6928241699934006
0.2,0.16083241999149323
0.36,0.46078185737133026
0.23,0.21799234300851822
0.4900000000000001,0.5943401008844376
0.27,0.3524390235543251
0.21,0.24246811121702194
0.2,0.14501885697245598
0.73,0.7376344501972198
0.2,0.08087269216775894
0.2,0.10407784953713417
0.22,0.2885149270296097
0.2,0.11386493593454361
0.2,0.12624777294695377
0.31,0.4609924554824829
0.26,0.20697860419750214
0.55,0.48077361285686493
0.21,0.22328832373023033
0.22,0.23353984579443932
0.34,0.40551578998565674
0.2,0.12514114007353783
0.73,0.6628386825323105
0.2,0.10408495739102364
0.2,0.13002683222293854
0.22,0.29120370000600815
0.7,0.6149049550294876
0.34,0.4120730459690094
0.2,0.19413886591792107
0.2,0.1367800459265709
0.8300000000000001,0.6780536770820618
0.24,0.29993171244859695
0.86,0.6798003315925598
0.2,0.11166841723024845
0.2,0.2096971683204174
0.22,0.2964383587241173
0.2,0.12639700435101986
0.2,0.11231492273509502
0.62,0.6295446157455444
0.22,0.1770768016576767
0.2,0.1077685933560133
0.46,0.5059458240866661
0.91,0.7478563040494919
0.26,0.31718456000089645
0.37,0.45794954895973206
0.7,0.753108873963356
0.28,0.33156054466962814
0.48,0.5005393251776695
0.28,0.355757899582386
0.85,0.6660870462656021
0.2,0.12748592160642147
0.39,0.5327142179012299
0.2,0.10076934844255447
0.27,0.35446613281965256
0.2,0.12758903577923775
0.2,0.13610157370567322
0.22,0.260882131755352
